id,name,mw_exact,sf,+H,+Na,+K
SLM:000055264,LPA(2:0),212.095596,C5H9O7P,213.01586608,234.99781033,250.97174754
SLM:000055265,LPA(30:0),604.839905,C33H65O7P,605.45406787,627.43601212,643.40994933
SLM:000055266,LPA(30:4),596.776306,C33H57O7P,597.39146762,619.37341186,635.34734907
SLM:000055267,LPA(30:5),594.760498,C33H55O7P,595.37581755,617.3577618,633.33169901
SLM:000055268,LPA(30:6),592.744629,C33H53O7P,593.36016749,615.34211174,631.31604895
SLM:000055269,LPA(32:4),624.829529,C35H61O7P,625.42276774,647.40471199,663.3786492
SLM:000055270,LPA(32:5),622.813599,C35H59O7P,623.40711768,645.38906193,661.36299914
SLM:000055271,LPA(32:6),620.797729,C35H57O7P,621.39146762,643.37341186,659.34734907
SLM:000055272,LPA(34:4),652.882690,C37H65O7P,653.45406787,675.43601212,691.40994933
SLM:000055273,LPA(34:5),650.866821,C37H63O7P,651.43841781,673.42036206,689.39429927
SLM:000055274,LPA(34:6),648.850891,C37H61O7P,649.42276774,671.40471199,687.3786492
SLM:000055275,LPA(36:4),680.935791,C39H69O7P,681.485368,703.46731225,719.44124946
SLM:000055276,LPA(36:5),678.919922,C39H67O7P,679.46971794,701.45166218,717.42559939
SLM:000055277,LPA(36:6),676.904114,C39H65O7P,677.45406787,699.43601212,715.40994933
SLM:000055278,LPA(38:4),708.989014,C41H73O7P,709.51666813,731.49861238,747.47254959
SLM:000055279,LPA(38:5),706.973083,C41H71O7P,707.50101806,729.48296231,745.45689952
SLM:000055280,LPA(3:0),226.122192,C6H11O7P,227.03151614,249.01346039,264.9873976
SLM:000055281,LPA(4:0),240.148804,C7H13O7P,241.04716621,263.02911046,279.00304767
SLM:000055282,LPA(6:0),268.201904,C9H17O7P,269.07846634,291.06041058,307.03434779
SLM:000055283,LPA(8:0),296.255096,C11H21O7P,297.10976646,319.09171071,335.06564792
SLM:000055284,LPA(O-13:0),352.404510,C16H33O6P,353.20875223,375.19069648,391.16463369
SLM:000055285,LPA(O-13:1),350.388611,C16H31O6P,351.19310216,373.17504641,389.14898362
SLM:000055286,LPA(O-14:0),366.431091,C17H35O6P,367.22440229,389.20634654,405.18028375
SLM:000055287,LPA(O-14:1),364.415192,C17H33O6P,365.20875223,387.19069648,403.16463369
SLM:000055288,LPA(O-15:0),380.457611,C18H37O6P,381.24005236,403.2219966,419.19593381
SLM:000055289,LPA(O-15:1),378.441803,C18H35O6P,379.22440229,401.20634654,417.18028375
SLM:000055290,LPA(O-16:0),394.484192,C19H39O6P,395.25570242,417.23764667,433.21158388
SLM:000055291,LPA(O-16:1),392.468292,C19H37O6P,393.24005236,415.2219966,431.19593381
SLM:000055292,LPA(O-17:0),408.510803,C20H41O6P,409.27135248,431.25329673,447.22723394
SLM:000055293,LPA(O-17:1),406.494904,C20H39O6P,407.25570242,429.23764667,445.21158388
SLM:000055294,LPA(O-18:0),422.537415,C21H43O6P,423.28700255,445.2689468,461.24288401
SLM:000055295,LPA(O-18:1),420.521515,C21H41O6P,421.27135248,443.25329673,459.22723394
SLM:000055296,LPA(O-18:2),418.505615,C21H39O6P,419.25570242,441.23764667,457.21158388
SLM:000055297,LPA(O-18:3),416.489685,C21H37O6P,417.24005236,439.2219966,455.19593381
SLM:000055298,LPA(O-20:0),450.590515,C23H47O6P,451.31830268,473.30024692,489.27418413
SLM:000055299,LPA(O-20:1),448.574707,C23H45O6P,449.30265261,471.28459686,487.25853407
SLM:000055300,LPA(O-20:2),446.558807,C23H43O6P,447.28700255,469.2689468,485.24288401
SLM:000055301,LPA(O-22:0),478.643707,C25H51O6P,479.3496028,501.33154705,517.30548426
SLM:000055302,LPA(O-22:1),476.627808,C25H49O6P,477.33395274,499.31589699,515.2898342
SLM:000055303,LPA(O-22:2),474.611908,C25H47O6P,475.31830268,497.30024692,513.27418413
SLM:000055304,LPA(O-24:0),506.696899,C27H55O6P,507.38090293,529.36284718,545.33678439
SLM:000055305,LPA(O-24:1),504.681000,C27H53O6P,505.36525287,527.34719712,543.32113433
SLM:000055306,LPA(O-26:0),534.750000,C29H59O6P,535.41220306,557.39414731,573.36808452
SLM:000055307,LPA(O-26:1),532.734070,C29H57O6P,533.396553,555.37849724,571.35243445
SLM:000055308,LPA(O-28:0),562.803223,C31H63O6P,563.44350319,585.42544744,601.39938465
SLM:000055309,LPA(O-28:1),560.787292,C31H61O6P,561.42785312,583.40979737,599.38373458
SLM:000055310,LPA(O-30:0),590.856323,C33H67O6P,591.47480332,613.45674756,629.43068477
SLM:000055311,LPA(O-30:1),588.840515,C33H65O6P,589.45915325,611.4410975,627.41503471
SLM:000055312,LPC(10:0),411.470612,C18H38NO7P,412.24586601,434.22781026,450.20174747
SLM:000055313,LPC(12:0),439.523712,C20H42NO7P,440.27716614,462.25911038,478.23304759
SLM:000055314,LPC(13:0),453.550293,C21H44NO7P,454.2928162,476.27476045,492.24869766
SLM:000055315,LPC(14:0),467.576904,C22H46NO7P,468.30846626,490.29041051,506.26434772
SLM:000055316,LPC(14:1),465.561005,C22H44NO7P,466.2928162,488.27476045,504.24869766
SLM:000055317,LPC(15:0),481.603485,C23H48NO7P,482.32411633,504.30606058,520.27999779
SLM:000055318,LPC(16:0),495.630096,C24H50NO7P,496.33976639,518.32171064,534.29564785
SLM:000055319,LPC(16:1),493.614197,C24H48NO7P,494.32411633,516.30606058,532.27999779
SLM:000055320,LPC(16:2),491.598297,C24H46NO7P,492.30846626,514.29041051,530.26434772
SLM:000055321,LPC(17:0),509.656586,C25H52NO7P,510.35541646,532.3373607,548.31129791
SLM:000055322,LPC(18:0),523.683228,C26H54NO7P,524.37106652,546.35301077,562.32694798
SLM:000055323,LPC(18:1),521.667297,C26H52NO7P,522.35541646,544.3373607,560.31129791
SLM:000055324,LPC(18:2),519.651489,C26H50NO7P,520.33976639,542.32171064,558.29564785
SLM:000055325,LPC(18:3),517.635620,C26H48NO7P,518.32411633,540.30606058,556.27999779
SLM:000055326,LPC(18:4),515.619690,C26H46NO7P,516.30846626,538.29041051,554.26434772
SLM:000055327,LPC(19:0),537.709778,C27H56NO7P,538.38671658,560.36866083,576.34259804
SLM:000055328,LPC(20:0),551.736389,C28H58NO7P,552.40236665,574.3843109,590.35824811
SLM:000055329,LPC(20:1),549.720520,C28H56NO7P,550.38671658,572.36866083,588.34259804
SLM:000055330,LPC(20:2),547.704590,C28H54NO7P,548.37106652,570.35301077,586.32694798
SLM:000055331,LPC(20:3),545.688721,C28H52NO7P,546.35541646,568.3373607,584.31129791
SLM:000055332,LPC(20:4),543.672913,C28H50NO7P,544.33976639,566.32171064,582.29564785
SLM:000055333,LPC(20:5),541.656982,C28H48NO7P,542.32411633,564.30606058,580.27999779
SLM:000055334,LPC(21:0),565.763000,C29H60NO7P,566.41801671,588.39996096,604.37389817
SLM:000055335,LPC(22:0),579.789490,C30H62NO7P,580.43366678,602.41561102,618.38954823
SLM:000055336,LPC(22:1),577.773682,C30H60NO7P,578.41801671,600.39996096,616.37389817
SLM:000055337,LPC(22:2),575.757813,C30H58NO7P,576.40236665,598.3843109,614.35824811
SLM:000055338,LPC(22:3),573.741882,C30H56NO7P,574.38671658,596.36866083,612.34259804
SLM:000055339,LPC(22:4),571.726013,C30H54NO7P,572.37106652,594.35301077,610.32694798
SLM:000055340,LPC(22:5),569.710083,C30H52NO7P,570.35541646,592.3373607,608.31129791
SLM:000055341,LPC(22:6),567.694275,C30H50NO7P,568.33976639,590.32171064,606.29564785
SLM:000055342,LPC(24:0),607.842712,C32H66NO7P,608.4649669,630.44691115,646.42084836
SLM:000055343,LPC(24:1),605.826782,C32H64NO7P,606.44931684,628.43126109,644.4051983
SLM:000055344,LPC(24:4),599.779175,C32H58NO7P,600.40236665,622.3843109,638.35824811
SLM:000055345,LPC(24:5),597.763306,C32H56NO7P,598.38671658,620.36866083,636.34259804
SLM:000055346,LPC(24:6),595.747375,C32H54NO7P,596.37106652,618.35301077,634.32694798
SLM:000055347,LPC(26:0),635.895874,C34H70NO7P,636.49626703,658.47821128,674.45214849
SLM:000055348,LPC(26:1),633.880005,C34H68NO7P,634.48061697,656.46256122,672.43649843
SLM:000055349,LPC(26:4),627.832275,C34H62NO7P,628.43366678,650.41561102,666.38954823
SLM:000055350,LPC(26:5),625.816528,C34H60NO7P,626.41801671,648.39996096,664.37389817
SLM:000055351,LPC(26:6),623.800598,C34H58NO7P,624.40236665,646.3843109,662.35824811
SLM:000055352,LPC(28:0),663.948975,C36H74NO7P,664.52756716,686.50951141,702.48344862
SLM:000055353,LPC(28:4),655.885498,C36H66NO7P,656.4649669,678.44691115,694.42084836
SLM:000055354,LPC(28:5),653.869629,C36H64NO7P,654.44931684,676.43126109,692.4051983
SLM:000055355,LPC(28:6),651.853699,C36H62NO7P,652.43366678,674.41561102,690.38954823
SLM:000055356,LPC(2:0),299.257904,C10H22NO7P,300.1206655,322.10260974,338.07654695
SLM:000055357,LPC(30:0),692.002197,C38H78NO7P,692.55886729,714.54081154,730.51474875
SLM:000055358,LPC(30:4),683.938721,C38H70NO7P,684.49626703,706.47821128,722.45214849
SLM:000055359,LPC(30:5),681.922791,C38H68NO7P,682.48061697,704.46256122,720.43649843
SLM:000055360,LPC(30:6),679.906921,C38H66NO7P,680.4649669,702.44691115,718.42084836
SLM:000055361,LPC(32:4),711.991821,C40H74NO7P,712.52756716,734.50951141,750.48344862
SLM:000055362,LPC(32:5),709.975891,C40H72NO7P,710.5119171,732.49386134,748.46779855
SLM:000055363,LPC(32:6),707.960083,C40H70NO7P,708.49626703,730.47821128,746.45214849
SLM:000055364,LPC(34:4),740.044983,C42H78NO7P,740.55886729,762.54081154,778.51474875
SLM:000055365,LPC(34:5),738.029114,C42H76NO7P,738.54321722,760.52516147,776.49909868
SLM:000055366,LPC(34:6),736.013184,C42H74NO7P,736.52756716,758.50951141,774.48344862
SLM:000055367,LPC(36:4),768.098083,C44H82NO7P,768.59016742,790.57211166,806.54604887
SLM:000055368,LPC(36:5),766.082275,C44H80NO7P,766.57451735,788.5564616,804.53039881
SLM:000055369,LPC(36:6),764.066406,C44H78NO7P,764.55886729,786.54081154,802.51474875
SLM:000055370,LPC(38:4),796.151306,C46H86NO7P,796.62146754,818.60341179,834.577349
SLM:000055371,LPC(38:5),794.135376,C46H84NO7P,794.60581748,816.58776173,832.56169894
SLM:000055372,LPC(3:0),313.284485,C11H24NO7P,314.13631556,336.11825981,352.09219702
SLM:000055373,LPC(4:0),327.311096,C12H26NO7P,328.15196562,350.13390987,366.10784708
SLM:000055374,LPC(6:0),355.364288,C14H30NO7P,356.18326575,378.16521,394.13914721
SLM:000055375,LPC(8:0),383.417389,C16H34NO7P,384.21456588,406.19651013,422.17044734
SLM:000055376,LPC(O-13:0),439.566803,C21H46NO6P,440.31355164,462.29549589,478.2694331
SLM:000055377,LPC(O-13:1),437.550903,C21H44NO6P,438.29790158,460.27984583,476.25378304
SLM:000055378,LPC(O-14:0),453.593414,C22H48NO6P,454.32920171,476.31114596,492.28508317
SLM:000055379,LPC(O-14:1),451.577515,C22H46NO6P,452.31355164,474.29549589,490.2694331
SLM:000055380,LPC(O-15:0),467.619995,C23H50NO6P,468.34485177,490.32679602,506.30073323
SLM:000055381,LPC(O-15:1),465.604095,C23H48NO6P,466.32920171,488.31114596,504.28508317
SLM:000055382,LPC(O-16:0),481.646515,C24H52NO6P,482.36050184,504.34244608,520.31638329
SLM:000055383,LPC(O-16:1),479.630707,C24H50NO6P,480.34485177,502.32679602,518.30073323
